facility_id,latitude,longitude,square_footage
north-carolina_alexander_2407_287_6_1_0_17_-78_13865_10,35.958835702629926,-81.2460946710411,144119.0991
north-carolina_alexander_2416_287_6_1_0_17_-78_13874_00,35.98261283097013,-81.24605445003151,78743.44084
north-carolina_alexander_244_287_6_1_0_17_-104_13841_00,35.89746193272568,-81.32726812890897,67929.7922
north-carolina_alexander_2649_287_6_1_0_17_-75_13857_00,35.93748188168121,-81.2358347220104,61602.69226
north-carolina_alexander_268_287_6_1_0_17_-104_13865_00,35.958211366298485,-81.32921657468843,127762.47128
north-carolina_alexander_2730_287_6_1_0_17_-74_13852_00,35.924702748671066,-81.2334630531036,155923.56142
north-carolina_alexander_2734_287_6_1_0_17_-74_13856_00,35.9356639365111,-81.2335585621641,73083.99184
north-carolina_alexander_2811_287_6_1_0_17_-73_13847_00,35.91207827423863,-81.23128689308824,67862.53498
north-carolina_alexander_2816_287_6_1_0_17_-73_13852_00,35.92511019415252,-81.23051483148532,152432.74766
north-carolina_alexander_2818_287_6_1_0_17_-73_13854_00,35.93117795267757,-81.23125117623827,89745.73778
north-carolina_alexander_2953_287_6_1_0_17_-71_13815_00,35.828851479718786,-81.22335480962897,86925.8558
north-carolina_alexander_2979_287_6_1_0_17_-71_13841_00,35.897922998875835,-81.2236173116357,44453.74158
north-carolina_alexander_2983_287_6_1_0_17_-71_13845_00,35.907258914184844,-81.22529918639229,69061.682
north-carolina_alexander_3002_287_6_1_0_17_-71_13864_00,35.95688293873637,-81.22512601037724,56402.56086
north-carolina_alexander_3043_287_6_1_0_17_-70_13819_00,35.84062016460454,-81.22100275065546,82163.71654
north-carolina_alexander_3068_287_6_1_0_17_-70_13844_00,35.9049743442207,-81.2209294784574,73438.32256
north-carolina_alexander_3095_287_6_1_0_17_-70_13871_00,35.97465285732771,-81.22082223275314,120859.58392
north-carolina_alexander_3138_287_6_1_0_17_-69_13829_00,35.86598882997753,-81.21850502752734,39061.68104
north-carolina_alexander_3139_287_6_1_0_17_-69_13830_10,35.86869304593653,-81.21797161920162,70772.64006
north-carolina_alexander_3172_287_6_1_0_17_-69_13863_00,35.95478458008981,-81.21882353479184,153989.50624
north-carolina_alexander_322_287_6_1_0_17_-103_13840_00,35.893312894563444,-81.32642988982744,71041.66894
north-carolina_alexander_3236_287_6_1_0_17_-68_13843_00,35.90143697562215,-81.21595978099126,49767.06196
north-carolina_alexander_3258_287_6_1_0_17_-68_13865_00,35.95946348884058,-81.21358408180005,71646.98392
north-carolina_alexander_3265_287_6_1_0_17_-68_13872_00,35.97660738645221,-81.21347662076741,112819.8855
north-carolina_alexander_3307_287_6_1_0_17_-67_13830_00,35.86750990742223,-81.2125568592897,76231.95782
north-carolina_alexander_3388_287_6_1_0_17_-66_13828_00,35.86336946935313,-81.20855824869777,91773.2969
north-carolina_alexander_3394_287_6_1_0_17_-66_13834_00,35.877986671653545,-81.20749015964269,71228.67682
north-carolina_alexander_3396_287_6_1_0_17_-66_13836_00,35.88319369959064,-81.20797621893162,86263.12612
north-carolina_alexander_3415_287_6_1_0_17_-66_13855_00,35.933724409530036,-81.20971866751309,102890.42324
north-carolina_alexander_3651_287_6_1_0_17_-63_13840_00,35.89322969410273,-81.19686901034883,72506.564
north-carolina_alexander_3686_287_6_1_0_17_-63_13875_00,35.985285166019025,-81.19907766579897,72114.50362
north-carolina_alexander_375_287_6_1_0_17_-102_13814_00,35.82678423250063,-81.32303949665398,65867.78426
north-carolina_alexander_3759_287_6_1_0_17_-62_13864_00,35.95646101677916,-81.19570118059525,106007.22124
north-carolina_alexander_3764_287_6_1_0_17_-62_13869_00,35.97049937127956,-81.1956359390396,102027.56232
north-carolina_alexander_3770_287_6_1_0_17_-62_13875_00,35.98355421565628,-81.1965492316387,55456.03852
north-carolina_alexander_4090_287_6_1_0_17_-58_13860_00,35.94595656524176,-81.18189070540993,82071.85302
north-carolina_alexander_4099_287_6_1_0_17_-58_13869_00,35.970057764348645,-81.18304381383253,80415.02882
north-carolina_alexander_4266_287_6_1_0_17_-56_13870_00,35.972832947418695,-81.17719918293909,61541.99672
north-carolina_alexander_4297_287_6_1_0_17_-55_13820_00,35.843513827484884,-81.17254526733359,116210.63364
north-carolina_alexander_4350_287_6_1_0_17_-55_13873_00,35.97947284562886,-81.17265628489342,99614.5045
north-carolina_alexander_4357_287_6_1_0_17_-55_13880_10,35.99782758622789,-81.17226895388696,46307.41618
north-carolina_alexander_4483_287_6_1_0_17_-53_13846_00,35.9105842072443,-81.16716834195749,31847.11388
north-carolina_alexander_4578_287_6_1_0_17_-52_13862_00,35.95215198796105,-81.1645848974681,50339.56854
north-carolina_alexander_4501_287_6_1_0_17_-53_13864_00,35.95738155006189,-81.16631315233319,68425.19904
north-carolina_alexander_4506_287_6_1_0_17_-53_13869_00,35.96855982463575,-81.16521359428246,99153.54648
north-carolina_alexander_4551_287_6_1_0_17_-52_13835_00,35.88139738017554,-81.16515018680505,64186.35376
north-carolina_alexander_4624_287_6_1_0_17_-51_13828_00,35.86241739378611,-81.15914790034381,80521.65612
north-carolina_alexander_4664_287_6_1_0_17_-51_13868_00,35.968086142436356,-81.1597330227044,68799.2148
north-carolina_alexander_4667_287_6_1_0_17_-51_13871_00,35.97322954363918,-81.15960263994886,47227.6918
north-carolina_alexander_4755_287_6_1_0_17_-50_13880_00,35.99846388848425,-81.15703709273907,58059.38506
north-carolina_alexander_4758_287_6_1_0_17_-50_13883_00,36.005553541519845,-81.15682703235116,60095.14628
north-carolina_alexander_4782_287_6_1_0_17_-49_13828_00,35.86302482705814,-81.1541859685866,65090.22518
north-carolina_alexander_4790_287_6_1_0_17_-49_13836_00,35.88474845119729,-81.15577288898162,54637.46894
north-carolina_alexander_4963_287_6_1_0_17_-47_13851_00,35.922166859368495,-81.14981235488081,86633.86104
north-carolina_alexander_4916_287_6_1_0_17_-48_13883_00,36.0049531980454,-81.1500867171109,72293.3094
north-carolina_alexander_4918_287_6_1_0_17_-48_13885_00,36.01120415448523,-81.15071525846001,43485.89378
north-carolina_alexander_5075_287_6_1_0_17_-46_13882_00,36.003355852617794,-81.14510809014577,94703.08702
north-carolina_alexander_5103_287_6_1_0_17_-45_13822_00,35.84742916715372,-81.14079046069358,56023.62384
north-carolina_alexander_5123_287_6_1_0_17_-45_13842_00,35.900613187508185,-81.14120423773865,61671.5899
