north-carolina_alamance_10554_287_6_1_0_17_525_13872,0,0,650766.17519147182,3981298.3889323724,17,185359.2579,"[0, 22, 298, 298]",129.48185067713797,240.49574585914596
north-carolina_alamance_10559_287_6_1_0_17_525_13877,0,0,650924.90088099078,3982854.2175814011,17,182383.53602,"[32, 0, 298, 298]",220.93557923684904,142.08752148504027
north-carolina_alamance_11167_287_6_1_0_17_529_13861,0,0,651872.15593796014,3978316.2847508779,17,67458.99166,"[37, 54, 233, 211]",77.00358947087588,106.59687139946207
north-carolina_alamance_11619_287_6_1_0_17_532_13845,0,0,652860.2673858949,3973686.7786319549,17,87942.916199999992,"[0, 31, 298, 216]",199.4343385990129,152.07361310568123
north-carolina_alamance_11688_287_6_1_0_17_532_13914,0,0,652839.37457514997,3993437.7632654672,17,207678.81242,"[0, 0, 298, 298]",175.64104595879746,191.14045166401149
north-carolina_alamance_11689_287_6_1_0_17_532_13915,0,0,652883.51028675411,3993781.7149486295,17,287956.04596000002,"[0, 0, 298, 298]",231.33718268830518,115.52346025799663
north-carolina_alamance_11779_287_6_1_0_17_533_13849,0,0,653065.27955465496,3974792.3411279297,17,112793.63877999999,"[47, 31, 278, 246]",81.227432728406583,164.30147058825563
north-carolina_alamance_12001_287_6_1_0_17_534_13915,0,0,653349.74800212577,3993818.1899973415,17,84434.057820000002,"[0, 52, 214, 265]",149.2572068162174,77.747544428674061
north-carolina_alamance_12001_287_6_1_0_17_534_13915,0,1,653507.31400612008,3993763.5338415373,17,61318.899599999997,"[178, 69, 298, 298]",149.2572068162174,77.747544428674061
north-carolina_alamance_12001_287_6_1_0_17_534_13915,1,0,653346.3247023155,3993744.98547264,17,114745.73858,"[0, 0, 298, 188]",120.23472132558388,233.91634387775156
north-carolina_alamance_12001_287_6_1_0_17_534_13915,1,1,653401.87112622801,3993584.1167279077,17,49932.744379999996,"[59, 114, 298, 298]",120.23472132558388,233.91634387775156
north-carolina_alamance_12003_287_6_1_0_17_534_13917,0,0,653288.96159046527,3994407.6794890091,17,100451.11870000001,"[0, 23, 213, 260]",100.51556463596009,82.181575037146771
north-carolina_alamance_1232_287_6_1_0_17_465_13980,0,0,633527.33028551971,4012433.5694412598,17,66568.243600000002,"[0, 78, 230, 196]",109.21256652633411,122.39979347049115
north-carolina_alamance_12438_287_6_1_0_17_537_13884,0,0,654259.79827823187,3984805.8940012306,17,59548.886420000003,"[64, 75, 265, 198]",137.47738486841934,208.74662828948431
north-carolina_alamance_1415_287_6_1_0_17_467_13847,0,0,634050.84967667761,3974378.1978805447,17,88892.719379999995,"[0, 31, 222, 199]",69.23044307823011,50.268072927710726
north-carolina_alamance_1416_287_6_1_0_17_467_13848,0,0,634061.17289607204,3974383.9979871339,17,101852.03737999999,"[0, 98, 231, 269]",86.634163346613946,261.7016932270908
north-carolina_alamance_1538_287_6_1_0_17_467_13970,0,0,634084.48337610904,4009482.1046391409,17,229087.93384000001,"[0, 0, 298, 298]",59.56339304384209,201.91364048233535
north-carolina_alamance_156_287_6_1_0_17_459_13851,0,0,631770.36695487588,3975426.4914953248,17,47486.87816,"[66, 65, 217, 190]",52.046371997955966,125.45452222790161
north-carolina_alamance_160_287_6_1_0_17_459_13855,0,0,631936.95679369906,3976461.9889503294,17,44416.011919999997,"[52, 48, 220, 194]",209.48853910477067,247.45509099852262
north-carolina_alamance_2133_287_6_1_0_17_471_13933,0,0,635404.74430464965,3998765.6812975798,17,203938.65482,"[0, 29, 298, 298]",233.15804529201426,276.56209773539831
north-carolina_alamance_2734_287_6_1_0_17_475_13902,0,0,636419.66819802765,3990052.0287465951,17,169968.83746000001,"[0, 0, 298, 298]",79.969679468667906,137.3347531042416
north-carolina_alamance_2737_287_6_1_0_17_475_13905,0,0,636443.63816624018,3990869.8452963592,17,279401.25566000002,"[0, 0, 298, 298]",117.33610429844289,153.17348651089733
north-carolina_alamance_2815_287_6_1_0_17_476_13825,0,0,636765.5589624627,3967809.2420628592,17,64658.794719999998,"[43, 73, 221, 224]",171.50185804533649,257.35274990710195
north-carolina_alamance_2973_287_6_1_0_17_477_13825,0,0,637027.39457470377,3967900.5734583265,17,68827.101939999993,"[22, 43, 256, 202]",143.10817438692331,189.30108991825676
north-carolina_alamance_3112_287_6_1_0_17_477_13964,0,0,637104.870192328,4007798.1504161204,17,148854.99163999999,"[31, 0, 259, 261]",211.9861681616249,182.74163802494115
north-carolina_alamance_3471_287_6_1_0_17_480_13849,0,0,638070.67165736435,3974816.9385405281,17,88298.887340000001,"[90, 36, 298, 212]",257.108629441625,159.54416243654794
north-carolina_alamance_3563_287_6_1_0_17_480_13941,0,0,637827.48060413753,4001143.8163163378,17,239166.67431999999,"[0, 0, 298, 298]",87.846249999997937,223.58146739131337
north-carolina_alamance_3629_287_6_1_0_17_481_13849,0,0,638064.15679282486,3974814.7244483898,17,90805.449099999998,"[21, 35, 225, 224]",52.612032611751005,158.45579139723978
north-carolina_alamance_3633_287_6_1_0_17_481_13853,0,0,638180.10997195111,3976165.0092561636,17,46171.261319999998,"[79, 0, 236, 108]",132.87173778602386,39.607173778604192
north-carolina_alamance_3634_287_6_1_0_17_481_13854,0,0,638183.65563785622,3976165.4785671066,17,75820.212400000004,"[62, 63, 237, 225]",143.1103205512274,238.4270521270216
north-carolina_alamance_3682_287_6_1_0_17_481_13902,0,0,638205.4944325512,3990033.0093468493,17,82493.440959999993,"[65, 21, 268, 273]",160.02015899205406,130.01625918703647
