facility_id,true_positive,latitude,longitude,new_cafo
north-carolina_bladen_15369_287_6_1_0_17_785_13437_00,0,34.8257349554,-78.5334265212,0
north-carolina_bladen_15748_287_6_1_0_17_788_13306_00,0,34.4880262898,-78.5370136995,0
north-carolina_bladen_16369_287_6_1_0_17_791_13416_00,1,34.7715150467,-78.5175967531,1
north-carolina_bladen_17055_287_6_1_0_17_795_13412_00,1,34.7616437776,-78.5051062136,1
north-carolina_bladen_1724_287_6_1_0_17_697_13348_00,0,34.6020043381,-78.8163742086,0
north-carolina_bladen_17280_287_6_1_0_17_797_13286_00,0,34.4353710935,-78.5094381454,0
north-carolina_bladen_17667_287_6_1_0_17_799_13319_00,1,34.5201962637,-78.4991775449,1
north-carolina_bladen_18966_287_6_1_0_17_806_13414_00,1,34.7662614928,-78.4725251,1
north-carolina_bladen_20739_287_6_1_0_17_817_13342_00,1,34.5790063195,-78.4418718959,1
north-carolina_bladen_21776_287_6_1_0_17_824_13290_00,0,34.4442783013,-78.4243408308,0
north-carolina_bladen_22751_287_6_1_0_17_830_13360_00,0,34.6221573029,-78.4005307023,0
north-carolina_bladen_22786_287_6_1_0_17_830_13395_00,1,34.7147624785,-78.3989430892,1
north-carolina_bladen_24402_287_6_1_0_17_842_13370_00,0,34.6497928194,-78.3617798842,0
north-carolina_bladen_25880_287_6_1_0_17_855_13265_00,0,34.3765881231,-78.3299480606,0
north-carolina_bladen_27866_287_6_1_0_17_879_13281_01,0,34.4172672005,-78.2541017179,0
north-carolina_bladen_28260_287_6_1_0_17_891_13299_00,1,34.4625169374,-78.2148908155,1
north-carolina_bladen_28374_287_6_1_0_17_898_13297_10,1,34.4566892243,-78.1926129766,1
north-carolina_bladen_3816_287_6_1_0_17_711_13358_00,0,34.6270518039,-78.7720034214,0
north-carolina_bladen_4568_287_6_1_0_17_716_13356_00,1,34.6206883924,-78.756998452,1
north-carolina_bladen_5821_287_6_1_0_17_724_13409_00,1,34.7581101443,-78.7294818286,1
north-carolina_bladen_5774_287_6_1_0_17_724_13362_00,1,34.6348673504,-78.7310768002,0
north-carolina_bladen_5924_287_6_1_0_17_725_13362_00,1,34.6352502606,-78.7273053579,0
north-carolina_brunswick_18556_287_6_1_0_17_909_13144_00,0,34.0607214255,-78.17187048,0
north-carolina_brunswick_27256_287_6_1_0_17_954_13081_00,0,33.8931488418,-78.0372879098,0
north-carolina_brunswick_3900_287_6_1_0_17_806_13068_10,0,33.8701927108,-78.4974647402,0
north-carolina_brunswick_5886_287_6_1_0_17_821_13101_00,0,33.9552263525,-78.4481254073,0
north-carolina_brunswick_875_287_6_1_0_17_778_13112_00,0,33.9873164761,-78.5813897817,0
north-carolina_buncombe_7887_287_6_1_0_17_-502_13731_00,0,35.6018747193,-82.588716106,0
north-carolina_burke_11325_287_6_1_0_17_-200_13771_00,0,35.7142206272,-81.6333207924,0
north-carolina_burke_14817_287_6_1_0_17_-161_13728_00,1,35.6035317008,-81.5084733497,0
north-carolina_burke_15035_287_6_1_0_17_-158_13742_10,1,35.6397551558,-81.499607355,0
north-carolina_burke_16063_287_6_1_0_17_-140_13762_00,1,35.6916390649,-81.4433497274,0
north-carolina_burke_3549_287_6_1_0_17_-262_13757_00,1,35.6762775105,-81.8295175294,1
north-carolina_burke_5738_287_6_1_0_17_-247_13745_00,1,35.6453574901,-81.7823503617,0
north-carolina_burke_7295_287_6_1_0_17_-235_13757_00,1,35.6772107899,-81.7424567876,0
north-carolina_burke_9036_287_6_1_0_17_-220_13757_00,0,35.6779851087,-81.6962642015,0
north-carolina_cabarrus_1497_287_6_1_0_17_99_13651_00,0,35.4056523646,-80.6847874265,0
north-carolina_cabarrus_1903_287_6_1_0_17_104_13638_00,0,35.3712906994,-80.6690331966,0
